playlist_name,track_name,artist,album,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
4TC,WOODGUTS,Notions,Notions,6i29zWaRQoHPqdtGQUZd4l,36,0.554,0.816,2,-7.393,1,0.0377,0.0035,0.479,0.133,0.484,171.137,audio_features,6i29zWaRQoHPqdtGQUZd4l,spotify:track:6i29zWaRQoHPqdtGQUZd4l,https://api.spotify.com/v1/tracks/6i29zWaRQoHPqdtGQUZd4l,https://api.spotify.com/v1/audio-analysis/6i29zWaRQoHPqdtGQUZd4l,142158,4,3
4TC,So What,Mqx,So What,5zz691d1AJpqNCeV7Djf9I,29,0.363,0.773,5,-3.429,1,0.0536,0.0634,1.05e-05,0.229,0.0524,154.598,audio_features,5zz691d1AJpqNCeV7Djf9I,spotify:track:5zz691d1AJpqNCeV7Djf9I,https://api.spotify.com/v1/tracks/5zz691d1AJpqNCeV7Djf9I,https://api.spotify.com/v1/audio-analysis/5zz691d1AJpqNCeV7Djf9I,177687,3,1
4TC,Deadboy98,REDZED,Ecstasy,3tdVmeS9Hh99boLNvx35K8,57,0.632,0.813,11,-6.168,0,0.0268,4.64e-05,0.0,0.221,0.444,87.989,audio_features,3tdVmeS9Hh99boLNvx35K8,spotify:track:3tdVmeS9Hh99boLNvx35K8,https://api.spotify.com/v1/tracks/3tdVmeS9Hh99boLNvx35K8,https://api.spotify.com/v1/audio-analysis/3tdVmeS9Hh99boLNvx35K8,130927,4,1
4TC,G Walkin' on Yo Coffin,Lil Boodang,G Walkin' on Yo Coffin,4v5eRXMBRY3tuYCtRfSKYC,0,0.803,0.932,4,-2.203,0,0.086,0.00538,0.0,0.198,0.536,97.019,audio_features,4v5eRXMBRY3tuYCtRfSKYC,spotify:track:4v5eRXMBRY3tuYCtRfSKYC,https://api.spotify.com/v1/tracks/4v5eRXMBRY3tuYCtRfSKYC,https://api.spotify.com/v1/audio-analysis/4v5eRXMBRY3tuYCtRfSKYC,99013,4,1
4TC,Walkin,Denzel Curry,Melt My Eyez See Your Future,1q8DwZtQen5fvyB7cKbShC,64,0.557,0.654,11,-7.201,0,0.196,0.134,0.0,0.291,0.386,135.983,audio_features,1q8DwZtQen5fvyB7cKbShC,spotify:track:1q8DwZtQen5fvyB7cKbShC,https://api.spotify.com/v1/tracks/1q8DwZtQen5fvyB7cKbShC,https://api.spotify.com/v1/audio-analysis/1q8DwZtQen5fvyB7cKbShC,280000,4,0
4TC,Oh Shit I'm Feeling It,DjCorny,Oh Shit I'm Feeling It,2VG79EDgLOcGhWiEZvlmKH,38,0.664,0.896,1,-3.249,1,0.0339,0.0144,1.28e-05,0.23,0.336,133.956,audio_features,2VG79EDgLOcGhWiEZvlmKH,spotify:track:2VG79EDgLOcGhWiEZvlmKH,https://api.spotify.com/v1/tracks/2VG79EDgLOcGhWiEZvlmKH,https://api.spotify.com/v1/audio-analysis/2VG79EDgLOcGhWiEZvlmKH,215484,4,1
4TC,Ruff Ryders' Anthem,DMX,It's Dark And Hell Is Hot,1BKT2I9x4RGKaKqW4up34s,68,0.88,0.577,10,-8.093,0,0.301,0.0564,1.02e-06,0.201,0.74,90.993,audio_features,1BKT2I9x4RGKaKqW4up34s,spotify:track:1BKT2I9x4RGKaKqW4up34s,https://api.spotify.com/v1/tracks/1BKT2I9x4RGKaKqW4up34s,https://api.spotify.com/v1/audio-analysis/1BKT2I9x4RGKaKqW4up34s,214440,4,0
4TC,Forgot About Dre,Dr. Dre,2001,7iXF2W9vKmDoGAhlHdpyIa,77,0.924,0.74,8,-1.299,1,0.0774,0.0827,0.0,0.163,0.621,133.974,audio_features,7iXF2W9vKmDoGAhlHdpyIa,spotify:track:7iXF2W9vKmDoGAhlHdpyIa,https://api.spotify.com/v1/tracks/7iXF2W9vKmDoGAhlHdpyIa,https://api.spotify.com/v1/audio-analysis/7iXF2W9vKmDoGAhlHdpyIa,222293,4,0
4TC,Can't C Me,2Pac,All Eyez On Me,7rUchbZxrhF29Q0vYjKEU0,67,0.795,0.852,0,-2.238,1,0.178,0.0442,3.47e-06,0.39,0.673,95.44,audio_features,7rUchbZxrhF29Q0vYjKEU0,spotify:track:7rUchbZxrhF29Q0vYjKEU0,https://api.spotify.com/v1/tracks/7rUchbZxrhF29Q0vYjKEU0,https://api.spotify.com/v1/audio-analysis/7rUchbZxrhF29Q0vYjKEU0,330760,4,2
4TC,Daylily,Movements,Feel Something,6AgtouHw1KrKy1PsoLjY3o,60,0.565,0.778,2,-5.475,1,0.028,0.00195,0.00129,0.156,0.421,104.067,audio_features,6AgtouHw1KrKy1PsoLjY3o,spotify:track:6AgtouHw1KrKy1PsoLjY3o,https://api.spotify.com/v1/tracks/6AgtouHw1KrKy1PsoLjY3o,https://api.spotify.com/v1/audio-analysis/6AgtouHw1KrKy1PsoLjY3o,208853,4,1
4TC,Dreamin Of The Past (feat. Kanye West),Pusha T,It's Almost Dry,3Wx98ijEDnsxyMYePCuFNI,56,0.594,0.913,6,-2.372,0,0.255,0.655,0.0,0.423,0.897,80.302,audio_features,3Wx98ijEDnsxyMYePCuFNI,spotify:track:3Wx98ijEDnsxyMYePCuFNI,https://api.spotify.com/v1/tracks/3Wx98ijEDnsxyMYePCuFNI,https://api.spotify.com/v1/audio-analysis/3Wx98ijEDnsxyMYePCuFNI,173633,4,2
4TC,"Baby, You Wouldn't Last A Minute On The Creek",Chiodos,All's Well That Ends Well,6p4jnIWFWyLz0zUo2RD9iu,55,0.38,0.908,2,-6.425,0,0.193,0.0295,0.0,0.101,0.0974,97.613,audio_features,6p4jnIWFWyLz0zUo2RD9iu,spotify:track:6p4jnIWFWyLz0zUo2RD9iu,https://api.spotify.com/v1/tracks/6p4jnIWFWyLz0zUo2RD9iu,https://api.spotify.com/v1/audio-analysis/6p4jnIWFWyLz0zUo2RD9iu,280867,4,1
4TC,1990 (Interlude),G Yamazawa,Shouts to Durham,5Q1zjIPUZhdqkao2hwhk90,44,0.551,0.654,9,-9.376,0,0.304,0.217,0.0053,0.0845,0.929,88.643,audio_features,5Q1zjIPUZhdqkao2hwhk90,spotify:track:5Q1zjIPUZhdqkao2hwhk90,https://api.spotify.com/v1/tracks/5Q1zjIPUZhdqkao2hwhk90,https://api.spotify.com/v1/audio-analysis/5Q1zjIPUZhdqkao2hwhk90,121293,4,0
4TC,Chapstick,COIN,Uncanny Valley,33E5u0qmzBlsHkhU1bTBWa,57,0.803,0.636,2,-6.456,1,0.0464,0.00855,0.000461,0.0999,0.767,115.041,audio_features,33E5u0qmzBlsHkhU1bTBWa,spotify:track:33E5u0qmzBlsHkhU1bTBWa,https://api.spotify.com/v1/tracks/33E5u0qmzBlsHkhU1bTBWa,https://api.spotify.com/v1/audio-analysis/33E5u0qmzBlsHkhU1bTBWa,193299,4,0
4TC,Jungle,Andre Nickatina,Midnight Machine Gun Rhymes And Alibis,1X4x5dsB2OhY4CctleooV2,42,0.901,0.833,11,-5.396,1,0.189,0.322,0.0,0.112,0.446,94.26,audio_features,1X4x5dsB2OhY4CctleooV2,spotify:track:1X4x5dsB2OhY4CctleooV2,https://api.spotify.com/v1/tracks/1X4x5dsB2OhY4CctleooV2,https://api.spotify.com/v1/audio-analysis/1X4x5dsB2OhY4CctleooV2,285160,4,0
4TC,Doomsday,MF DOOM,Operation: Doomsday (Complete),7lT1dCz96jANsLAAADlfIg,1,0.856,0.841,6,-7.737,0,0.335,0.0977,0.0,0.0773,0.794,95.418,audio_features,7lT1dCz96jANsLAAADlfIg,spotify:track:7lT1dCz96jANsLAAADlfIg,https://api.spotify.com/v1/tracks/7lT1dCz96jANsLAAADlfIg,https://api.spotify.com/v1/audio-analysis/7lT1dCz96jANsLAAADlfIg,298053,4,0
4TC,Money Ties,Ching,Money Ties,5kzYLHWxtdk4VDhJ0RXJc8,23,0.592,0.491,10,-8.55,0,0.178,0.213,0.000235,0.1,0.196,81.144,audio_features,5kzYLHWxtdk4VDhJ0RXJc8,spotify:track:5kzYLHWxtdk4VDhJ0RXJc8,https://api.spotify.com/v1/tracks/5kzYLHWxtdk4VDhJ0RXJc8,https://api.spotify.com/v1/audio-analysis/5kzYLHWxtdk4VDhJ0RXJc8,205097,4,0
4TC,Homies,Token,SCOOB! The Album (Deluxe),06UO0YUP1GKFOtv5IRiejY,2,0.712,0.665,0,-8.742,1,0.207,0.521,0.0135,0.0805,0.294,80.867,audio_features,06UO0YUP1GKFOtv5IRiejY,spotify:track:06UO0YUP1GKFOtv5IRiejY,https://api.spotify.com/v1/tracks/06UO0YUP1GKFOtv5IRiejY,https://api.spotify.com/v1/audio-analysis/06UO0YUP1GKFOtv5IRiejY,193060,4,0
4TC,Why? Where? What?,King Fantastic,Finger Snaps and Gun Claps,5M1ef2O0Ald6vgAt2zl3ZV,34,0.718,0.599,11,-6.624,1,0.148,0.15,2.48e-06,0.179,0.526,166.027,audio_features,5M1ef2O0Ald6vgAt2zl3ZV,spotify:track:5M1ef2O0Ald6vgAt2zl3ZV,https://api.spotify.com/v1/tracks/5M1ef2O0Ald6vgAt2zl3ZV,https://api.spotify.com/v1/audio-analysis/5M1ef2O0Ald6vgAt2zl3ZV,226952,4,0
4TC,Fractals,CHILIØ,(un)orthodox,2twKIH3IncwdwNuGuQChVt,25,0.475,0.938,2,-5.714,1,0.0997,0.00049,0.0,0.19,0.414,92.07,audio_features,2twKIH3IncwdwNuGuQChVt,spotify:track:2twKIH3IncwdwNuGuQChVt,https://api.spotify.com/v1/tracks/2twKIH3IncwdwNuGuQChVt,https://api.spotify.com/v1/audio-analysis/2twKIH3IncwdwNuGuQChVt,227264,4,1
4TC,*Equip Sunglasses*,Hot Mulligan,you'll be fine,427OHPoIWqO3SsFw77EkDf,60,0.628,0.967,8,-3.35,1,0.063,0.000747,0.0,0.0187,0.906,120.015,audio_features,427OHPoIWqO3SsFw77EkDf,spotify:track:427OHPoIWqO3SsFw77EkDf,https://api.spotify.com/v1/tracks/427OHPoIWqO3SsFw77EkDf,https://api.spotify.com/v1/audio-analysis/427OHPoIWqO3SsFw77EkDf,166000,4,1
4TC,Straight Outta Flames,REDZED,Bohemian Psycho,6vZI7ju4Bg0Ui7HRidqlp4,55,0.568,0.87,1,-2.615,1,0.172,8.36e-05,0.000779,0.084,0.338,188.014,audio_features,6vZI7ju4Bg0Ui7HRidqlp4,spotify:track:6vZI7ju4Bg0Ui7HRidqlp4,https://api.spotify.com/v1/tracks/6vZI7ju4Bg0Ui7HRidqlp4,https://api.spotify.com/v1/audio-analysis/6vZI7ju4Bg0Ui7HRidqlp4,125128,3,1
