track_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Break,Classic Jack,0.279,0.505,7,-8.82,1,0.0384,0.0799,0.0,0.353,0.567,200.431,audio_features,0qq3yetHj0Q5AJTML96qIQ,spotify:track:0qq3yetHj0Q5AJTML96qIQ,https://api.spotify.com/v1/tracks/0qq3yetHj0Q5AJTML96qIQ,https://api.spotify.com/v1/audio-analysis/0qq3yetHj0Q5AJTML96qIQ,202500,4
Hate It Or Love It,The Game,0.802,0.785,9,-4.781,1,0.207,0.14,0.0,0.123,0.435,99.998,audio_features,2wGSgTmgSF3xjRrHkTc25R,spotify:track:2wGSgTmgSF3xjRrHkTc25R,https://api.spotify.com/v1/tracks/2wGSgTmgSF3xjRrHkTc25R,https://api.spotify.com/v1/audio-analysis/2wGSgTmgSF3xjRrHkTc25R,206400,4
Without u - rock version demo,Holywatr,0.506,0.663,7,-6.147,1,0.042,0.00109,2.26e-05,0.157,0.102,151.78,audio_features,6b30Si6X4QkRsjwCUDsCTs,spotify:track:6b30Si6X4QkRsjwCUDsCTs,https://api.spotify.com/v1/tracks/6b30Si6X4QkRsjwCUDsCTs,https://api.spotify.com/v1/audio-analysis/6b30Si6X4QkRsjwCUDsCTs,157500,4
Down Under (feat. Colin Hay),Luude,0.308,0.861,11,-4.112,0,0.172,0.012,0.00103,0.277,0.0386,171.966,audio_features,7AVyve7cFYTd51ha5i9kE2,spotify:track:7AVyve7cFYTd51ha5i9kE2,https://api.spotify.com/v1/tracks/7AVyve7cFYTd51ha5i9kE2,https://api.spotify.com/v1/audio-analysis/7AVyve7cFYTd51ha5i9kE2,158774,4
Big Dawgs,Hanumankind,0.464,0.745,4,-3.202,0,0.161,0.0235,0.0,0.363,0.262,180.098,audio_features,0OA00aPt3BV10qeMIs3meW,spotify:track:0OA00aPt3BV10qeMIs3meW,https://api.spotify.com/v1/tracks/0OA00aPt3BV10qeMIs3meW,https://api.spotify.com/v1/audio-analysis/0OA00aPt3BV10qeMIs3meW,190667,4
Shatter,Classic Jack,0.396,0.905,2,-6.333,1,0.224,0.000393,2.84e-06,0.0751,0.341,185.108,audio_features,5du41zrUzl3tfB2xrZ9Dtj,spotify:track:5du41zrUzl3tfB2xrZ9Dtj,https://api.spotify.com/v1/tracks/5du41zrUzl3tfB2xrZ9Dtj,https://api.spotify.com/v1/audio-analysis/5du41zrUzl3tfB2xrZ9Dtj,182270,4
Guess featuring billie eilish,Charli xcx,0.776,0.667,7,-6.622,1,0.0983,0.0146,0.3,0.0761,0.618,130.019,audio_features,3WOhcATHxK2SLNeP5W3v1v,spotify:track:3WOhcATHxK2SLNeP5W3v1v,https://api.spotify.com/v1/tracks/3WOhcATHxK2SLNeP5W3v1v,https://api.spotify.com/v1/audio-analysis/3WOhcATHxK2SLNeP5W3v1v,145219,4
By the Sword,iamjakehill,0.685,0.76,2,-7.813,1,0.0506,0.0197,0.153,0.0869,0.778,160.037,audio_features,5vkDSUiDwvOzJw5jGuWF48,spotify:track:5vkDSUiDwvOzJw5jGuWF48,https://api.spotify.com/v1/tracks/5vkDSUiDwvOzJw5jGuWF48,https://api.spotify.com/v1/audio-analysis/5vkDSUiDwvOzJw5jGuWF48,125812,4
Conceited,Lola Young,0.764,0.44,11,-5.009,0,0.0619,0.337,0.0,0.542,0.844,92.021,audio_features,5ZdqVCiXrvMGpY8cux5g8t,spotify:track:5ZdqVCiXrvMGpY8cux5g8t,https://api.spotify.com/v1/tracks/5ZdqVCiXrvMGpY8cux5g8t,https://api.spotify.com/v1/audio-analysis/5ZdqVCiXrvMGpY8cux5g8t,239453,4
L'Amour Toujours,Gigi D'Agostino,0.638,0.877,7,-4.449,1,0.0302,0.0771,0.0221,0.364,0.743,139.052,audio_features,52LJ3hyknOijCrE5gCD0rE,spotify:track:52LJ3hyknOijCrE5gCD0rE,https://api.spotify.com/v1/tracks/52LJ3hyknOijCrE5gCD0rE,https://api.spotify.com/v1/audio-analysis/52LJ3hyknOijCrE5gCD0rE,242053,4
